V1,V2,V3,V4
1,0.51,0.66,0.52
(1;1),(0.24;1.04),(0.32;1.34),(0.3;0.89)
1.97,1,1.31,1.04
(0.96;4.1),(1;1),(0.53;3.13),(0.46;2.32)
1.51,0.76,1,0.79
(0.75;3.16),(0.32;1.88),(1;1),(0.38;1.68)
1.92,0.96,1.26,1
(1.13;3.29),(0.43;2.16),(0.59;2.64),(1;1)
